ID,이름,생년월일,전화번호,주소,메모
2407,전민성,2003-02-21,010-4149-1427,92 칠성로,
2408,서주훈,1983-10-23,010-1252-5899,292 칠성로,
2409,김아림,2003-06-30,010-2109-5895,884 수성로,
2410,김은윤,1995-03-21,010-3889-1022,588 칠성로,
2411,류세우,2002-02-23,010-6453-7367,109 동성로,
2412,조현림,1989-11-28,010-1088-8063,106 칠성로,
2413,신은연,2005-11-01,010-3874-5795,134 중앙로,
2414,전시성,2000-12-16,010-2940-8563,252 수성로,
2415,황유아,1992-08-25,010-2427-1649,464 수성로,
2416,강다성,1996-02-14,010-1875-5658,816 범어로,
2417,류아현,1997-12-27,010-2866-9223,19 수성로,
2418,임다우,2010-08-17,010-5617-3995,807 중앙로,
2419,정민민,1996-12-24,010-7274-1044,113 중앙로,
2420,서아연,1991-10-04,010-8117-1633,39 범어로,
2421,전하솔,2006-05-24,010-1304-7387,574 동성로,
2422,서예림,1991-12-26,010-9106-8966,316 칠성로,
2423,한세경,2003-01-16,010-2070-9216,199 범어로,
2424,서예영,1982-02-11,010-3440-7951,234 범어로,
2425,윤진우,1997-04-14,010-1382-9400,393 수성로,
2426,한지연,1990-12-13,010-4275-2824,610 중앙로,
2427,류하나,2006-06-05,010-6219-5884,212 동성로,
2428,김진우,1992-05-26,010-5540-1048,388 범어로,
2429,송준훈,1987-11-07,010-9374-8693,28 칠성로,
2430,한채경,1990-12-24,010-5670-3927,822 중앙로,
2431,장은윤,1993-10-17,010-9295-4686,44 중앙로,
2432,류은경,2005-01-16,010-3843-4839,988 동성로,
2433,황은온,1980-01-08,010-6457-9581,492 수성로,
2434,서아윤,1981-08-03,010-8528-6208,617 칠성로,
2435,전민빈,1996-12-25,010-3451-2308,731 수성로,
2436,전준아,1997-10-11,010-2805-8673,305 중앙로,
2437,조준민,1992-01-23,010-3476-9471,865 수성로,
2438,송진희,1983-11-07,010-8513-4283,712 수성로,
2439,박시희,1997-12-07,010-1231-5311,323 동성로,
2440,최서원,1983-09-28,010-3070-2687,566 범어로,
2441,김하진,2005-03-08,010-4486-4782,598 칠성로,
2442,서윤원,1993-12-06,010-8000-1203,314 칠성로,
2443,안현진,2010-08-29,010-2323-8674,819 동성로,
2444,윤지훈,1998-02-27,010-6115-4800,834 수성로,
2445,서은원,1990-09-25,010-7412-1879,311 칠성로,
2446,류아민,1990-05-29,010-9837-6455,40 범어로,
2447,이예현,1999-03-24,010-9174-4519,436 수성로,
2448,송도연,1992-01-06,010-2216-3413,390 칠성로,
2449,박지주,1992-11-09,010-2781-7421,99 범어로,
2450,황유민,1983-02-01,010-1141-7604,549 동성로,
2451,전수연,1997-02-18,010-8402-3451,952 범어로,
2452,안은나,2001-06-24,010-1981-7363,5 수성로,
2453,정진림,1983-03-27,010-5646-3184,336 수성로,
2454,전수솔,1991-12-08,010-7865-5320,473 칠성로,
2455,윤현우,2005-02-15,010-1758-1397,363 동성로,
2456,송시성,1999-10-24,010-3661-5124,922 중앙로,
2457,조도현,1982-10-24,010-9903-6201,379 중앙로,
2458,조아나,2004-03-28,010-3247-4752,436 범어로,
2459,이준우,1990-11-28,010-5875-4075,234 중앙로,
2460,최진온,2007-12-30,010-9558-5646,336 범어로,
2461,오도민,2002-02-17,010-6476-4943,168 범어로,
2462,김세윤,2006-03-16,010-3336-1067,993 중앙로,
2463,윤채솔,2008-09-27,010-9280-6397,155 범어로,
2464,안주나,1982-12-18,010-6851-3211,565 수성로,
2465,류현민,2003-06-28,010-3061-3886,129 칠성로,
2466,류하민,2004-12-18,010-1632-4621,452 범어로,
2467,윤은희,1997-05-17,010-6638-8519,294 동성로,
2468,권서성,2001-11-11,010-6269-4536,936 수성로,
2469,조아윤,1997-04-15,010-3662-2483,181 범어로,
2470,최예성,1994-02-16,010-2202-1229,401 칠성로,
2471,정하경,2000-04-18,010-5724-8516,245 동성로,
2472,오다림,2003-05-09,010-9869-5750,160 칠성로,
2473,조주나,2002-06-07,010-2368-1785,438 중앙로,
2474,서아율,2001-01-31,010-8649-4223,738 중앙로,
2475,임준훈,1995-04-04,010-1092-2846,188 수성로,
2476,이은우,2006-09-30,010-1372-6460,6 중앙로,
2477,임민원,1980-05-30,010-6382-8912,407 동성로,
2478,이서연,1989-10-12,010-6352-5610,203 칠성로,
2479,한시율,1998-05-10,010-1468-3383,538 동성로,
2480,박지우,1986-05-30,010-3132-6450,86 동성로,
2481,황서온,2009-09-13,010-1545-6160,898 범어로,
2482,강진경,2008-05-09,010-2090-2859,200 칠성로,
2483,서현아,2004-02-21,010-5847-2915,500 중앙로,
2484,임시현,2009-04-22,010-3356-8104,329 동성로,
2485,윤수윤,1985-12-05,010-2700-4298,223 중앙로,
2486,박채아,2006-04-08,010-4779-8321,527 중앙로,
2487,권주림,1997-05-04,010-6305-3595,519 중앙로,
2488,황시우,1985-02-24,010-1879-1901,162 범어로,
2489,전지율,1983-03-17,010-9408-3703,702 칠성로,
2490,조윤림,1993-03-06,010-7749-7831,605 중앙로,
2491,오수빈,1991-07-07,010-1135-9331,39 칠성로,
2492,오하주,2005-07-01,010-6734-5424,983 수성로,
2493,최시나,1996-07-20,010-6130-1847,663 수성로,
2494,최채민,1987-06-09,010-1444-4630,410 중앙로,
2495,이다훈,1991-09-18,010-6540-4501,148 범어로,
2496,최준림,2009-04-04,010-4578-8819,546 중앙로,
2497,권하희,2003-05-22,010-8272-8324,547 수성로,
2498,정다온,1990-08-23,010-3819-7384,90 수성로,
2499,임아주,2007-08-23,010-1589-6692,340 수성로,
2500,안지훈,1996-08-28,010-5834-3290,433 범어로,
2501,서윤우,1991-02-12,010-8960-6524,909 범어로,
2502,권지진,1984-08-28,010-5300-3837,107 중앙로,
2503,서유연,1993-06-30,010-5086-2146,761 범어로,
2504,류준우,1989-04-18,010-9243-7457,636 중앙로,
2505,박지온,1994-08-30,010-3041-1323,327 칠성로,
2506,이주훈,1997-03-23,010-7380-2722,451 수성로,
2507,장수나,1992-11-07,010-4498-2763,567 동성로,
2508,조아주,2003-01-13,010-5811-5035,234 동성로,
2509,송시희,2000-11-05,010-7584-5550,597 칠성로,
2510,김서민,1988-03-08,010-6693-4061,781 칠성로,
2511,서서윤,1991-05-12,010-1095-4055,971 중앙로,
2512,황도민,2010-01-16,010-2773-6388,568 중앙로,
2513,오지원,2007-05-30,010-4772-9801,642 수성로,
2514,장시현,1988-03-13,010-5106-8650,648 칠성로,
2515,서민주,2010-12-18,010-6136-6492,208 동성로,
2516,신예아,1990-09-11,010-1825-9864,726 중앙로,
2517,정준율,1994-02-10,010-9130-1561,512 칠성로,
2518,송수솔,1982-09-02,010-2686-1178,818 중앙로,
2519,최하원,1997-07-12,010-6289-9338,970 동성로,
2520,신주경,1988-01-28,010-6809-1377,716 칠성로,
2521,전시현,2008-05-12,010-7074-5515,490 중앙로,
2522,윤아연,2002-02-20,010-6286-6430,708 칠성로,
2523,황현희,1990-12-09,010-8391-4189,579 칠성로,
2524,황준솔,1985-02-05,010-6212-3101,345 중앙로,
2525,권도희,2000-10-02,010-8560-1020,892 칠성로,
2526,한아훈,1988-02-12,010-4394-9304,910 칠성로,
2527,임서림,1981-04-12,010-4749-9774,823 동성로,
2528,신도연,2002-12-28,010-3366-3469,796 수성로,
2529,이은원,2009-10-17,010-3132-8447,773 중앙로,
2530,최은연,2007-01-03,010-1920-8811,221 칠성로,
2531,송진경,1996-05-27,010-8096-3074,522 동성로,
2532,황예경,2001-06-01,010-5046-1136,710 수성로,
2533,장예주,1998-06-21,010-8227-5850,128 동성로,
2534,신세훈,1997-03-17,010-5073-6741,768 동성로,
2535,박주우,2002-03-03,010-7084-2690,373 수성로,
2536,류은훈,2002-05-03,010-3327-6862,161 동성로,
2537,송유림,1997-07-26,010-7107-3657,994 수성로,
2538,강민림,2004-01-17,010-6658-3188,440 범어로,
2539,신시연,1992-08-02,010-1124-5617,307 칠성로,
2540,안도빈,1993-04-20,010-6537-2438,132 칠성로,
2541,최주성,2000-11-01,010-7202-2297,60 동성로,
2542,윤채원,1987-05-18,010-4756-4687,15 동성로,
2543,신은훈,1991-03-14,010-4454-1737,140 수성로,
2544,황준림,1986-01-17,010-7373-5456,302 중앙로,
2545,이하나,1991-11-21,010-1696-2390,158 수성로,
2546,윤진훈,1998-06-15,010-1981-6945,783 동성로,
2547,이윤빈,1993-12-09,010-1253-8087,327 동성로,
2548,박은율,2003-07-02,010-4052-5499,711 수성로,
2549,전주성,2008-11-20,010-7217-7262,879 칠성로,
2550,장윤빈,2003-06-18,010-6045-7249,685 동성로,
2551,한주온,1980-10-27,010-7974-4074,419 칠성로,
2552,윤지연,1983-06-30,010-4312-2496,951 범어로,
2553,김지영,1990-10-11,010-1996-7860,868 범어로,
2554,안현연,2004-02-02,010-1209-9460,332 범어로,
2555,이수성,1985-12-11,010-3187-5568,7 동성로,
2556,전예주,1992-10-20,010-3289-6245,35 범어로,
2557,황예빈,2003-07-10,010-5911-6390,632 동성로,
2558,박지현,1991-01-21,010-2739-4929,934 범어로,
2559,황시민,2000-10-30,010-2035-4377,783 범어로,
2560,송지솔,1984-08-10,010-5409-6587,379 동성로,
2561,오서빈,1998-01-03,010-3064-2959,36 범어로,
2562,조도원,2010-10-18,010-1688-4828,333 중앙로,
2563,장지민,1980-09-10,010-3263-2297,492 중앙로,
2564,한주주,1986-04-22,010-9761-2353,481 동성로,
2565,조유성,1993-04-24,010-4165-2942,312 칠성로,
2566,임지나,2004-10-01,010-5168-2957,726 수성로,
2567,황지림,2008-06-23,010-5638-1251,982 칠성로,
2568,박서나,1992-05-25,010-4178-7871,496 중앙로,
2569,신채원,1982-05-07,010-3853-9972,166 중앙로,
2570,류진율,2002-07-01,010-4794-6566,895 범어로,
2571,정채희,2001-03-20,010-1706-3753,759 범어로,
2572,류세나,2000-12-26,010-4500-5427,916 수성로,
2573,윤하빈,2006-06-08,010-5573-4810,369 범어로,
2574,윤진아,2007-07-22,010-2518-6216,539 칠성로,
2575,안진희,1999-12-14,010-7026-2245,442 칠성로,
2576,송시진,2008-01-01,010-2851-6808,949 범어로,
2577,한윤솔,2010-03-18,010-1165-9521,272 칠성로,
2578,한준희,2005-09-23,010-6657-1862,294 칠성로,
2579,이주우,2010-03-28,010-6726-5059,510 범어로,
2580,오시훈,1995-04-02,010-8621-1714,197 수성로,
2581,임민윤,1981-11-12,010-7856-9000,601 칠성로,
2582,김하성,1983-03-09,010-8693-6512,668 수성로,
2583,장준연,1994-08-04,010-1934-8331,164 동성로,
2584,임채현,1989-10-26,010-5638-5123,229 동성로,
2585,안채주,1998-01-26,010-1351-8578,564 범어로,
2586,이민민,1981-06-22,010-4790-2290,866 동성로,
2587,강준림,1990-07-07,010-7683-2468,272 수성로,
2588,황윤훈,1993-06-24,010-1340-6040,866 칠성로,
2589,한지빈,2006-03-08,010-1638-4805,257 수성로,
2590,송하훈,1989-05-10,010-9182-1658,121 동성로,
2591,최아경,1994-01-18,010-2068-5549,628 수성로,
2592,김진희,1994-08-08,010-5514-8981,958 중앙로,
2593,한아연,2002-10-14,010-3877-4413,359 범어로,
2594,임지림,2008-07-22,010-7953-5213,316 칠성로,
2595,이세원,1993-03-18,010-1115-1610,101 동성로,
2596,권윤주,2000-10-11,010-6217-9605,660 칠성로,
2597,윤지빈,1997-04-06,010-3632-5822,340 수성로,
2598,임예솔,1987-01-22,010-1850-1187,917 중앙로,
2599,박다나,2007-07-05,010-7821-8549,90 수성로,
2600,전지훈,1985-05-26,010-7467-1235,607 동성로,
2601,김시민,1996-01-26,010-8648-2533,768 칠성로,
2602,장현영,1985-05-09,010-7484-4575,806 수성로,
2603,이진연,2008-04-22,010-7061-5898,876 칠성로,
2604,이지성,1998-12-16,010-4806-4380,399 칠성로,
2605,강진민,1996-11-18,010-8576-2360,704 중앙로,
2606,권지우,1988-05-18,010-9338-8296,396 범어로,
2607,박은연,1999-06-15,010-1977-3313,480 수성로,
2608,조서민,1997-02-23,010-6975-3675,977 중앙로,
2609,안현희,2009-10-12,010-4641-9473,11 중앙로,
2610,신예아,1991-04-16,010-2624-8139,70 중앙로,
2611,황세아,2008-04-23,010-8772-9312,8 중앙로,
2612,송주림,1992-11-01,010-7429-6131,497 칠성로,
2613,송민경,2003-08-16,010-2327-1760,354 중앙로,
2614,안아나,2007-08-30,010-6087-5022,105 동성로,
2615,서진온,1980-09-18,010-3435-5022,709 동성로,
2616,전지희,1980-11-22,010-6345-4968,713 범어로,
2617,한하연,1995-10-27,010-7465-6430,904 중앙로,
2618,한주진,2000-02-07,010-3917-8598,900 수성로,
2619,장현진,2002-07-11,010-9656-8577,329 중앙로,
2620,전지경,2001-10-23,010-1429-6823,454 칠성로,
2621,김현빈,1998-01-05,010-5885-2730,545 수성로,
2622,송준율,1996-06-24,010-8507-7330,708 동성로,
2623,이지민,1986-07-06,010-9442-4450,960 동성로,
2624,윤주민,1995-09-13,010-8410-8841,199 동성로,
2625,서다연,2001-06-08,010-3689-2511,170 중앙로,
2626,송유연,1990-12-15,010-5933-5894,457 칠성로,
2627,서현우,1990-07-20,010-8986-5644,600 수성로,
2628,신서훈,1982-08-04,010-6040-9172,161 칠성로,
2629,한예현,1988-07-25,010-3563-8668,687 동성로,
2630,송하원,2008-04-15,010-4534-3449,683 범어로,
2631,황도나,2009-06-30,010-7552-9224,797 수성로,
2632,황현율,1994-06-29,010-7250-5626,457 동성로,
2633,권지림,2008-07-28,010-5011-6291,327 칠성로,
2634,송다주,1990-03-29,010-4041-1391,961 중앙로,
2635,강준윤,1989-12-20,010-6692-4396,410 범어로,
2636,윤민빈,2009-08-21,010-8407-6057,994 동성로,
2637,박은아,1998-02-18,010-4315-6371,440 수성로,
2638,류지우,2010-08-21,010-5960-6424,24 수성로,
2639,송지현,1992-03-14,010-8557-4991,257 동성로,
2640,정도원,1987-03-10,010-6362-5673,247 칠성로,
2641,강지솔,2006-03-26,010-5510-3375,1 중앙로,
2642,이세현,1984-04-01,010-9593-6127,999 동성로,
2643,김진윤,1981-07-12,010-1686-6670,471 중앙로,
2644,전지경,2004-05-27,010-4826-4224,526 동성로,
2645,오윤훈,1997-04-23,010-4758-5908,414 수성로,
2646,서도경,1989-05-13,010-4300-9060,335 수성로,
2647,조유성,1990-03-28,010-5588-4978,754 동성로,
2648,박민연,2006-12-08,010-2219-2593,170 칠성로,
2649,황서림,1988-09-14,010-6284-5718,615 중앙로,
2650,장주영,1983-07-24,010-8327-7986,624 중앙로,
2651,신서주,2003-02-22,010-4265-3896,327 동성로,
2652,안윤윤,1985-07-13,010-3700-5545,811 칠성로,
2653,황하훈,1980-09-20,010-6644-8244,872 중앙로,
2654,권예빈,2004-10-22,010-7650-7633,536 범어로,
2655,권세빈,1983-11-19,010-6596-9320,382 칠성로,
2656,오아빈,1993-10-11,010-8904-5977,965 범어로,
2657,정다솔,1992-08-15,010-4078-3343,96 중앙로,
2658,김진아,1990-02-04,010-2996-1181,647 중앙로,
2659,조다현,2004-01-22,010-1670-5879,241 수성로,
2660,임서림,1984-10-25,010-4469-6255,97 중앙로,
2661,오지영,1984-07-31,010-7583-9807,430 중앙로,
2662,신진솔,1988-12-07,010-3716-1142,962 수성로,
2663,류지림,1982-08-05,010-3599-4997,606 수성로,
2664,김지아,1983-07-09,010-5663-8565,210 수성로,
2665,강준율,2004-04-27,010-8310-3511,770 중앙로,
2666,최시훈,1982-10-05,010-9160-6038,150 범어로,
2667,황지빈,1995-06-04,010-1415-2207,510 동성로,
2668,조아원,2007-05-02,010-2405-6600,118 동성로,
2669,서민주,1989-07-11,010-4439-6812,953 중앙로,
2670,황윤경,1985-10-28,010-1745-3479,462 중앙로,
2671,최유진,1992-06-15,010-1933-2478,173 동성로,
2672,한지훈,1992-12-26,010-4011-2802,823 중앙로,
2673,안민림,2008-02-14,010-8467-2969,269 동성로,
2674,김지희,1997-03-25,010-2052-7330,972 범어로,
2675,한진현,2002-01-10,010-1916-2574,953 범어로,
2676,강지민,1995-08-13,010-1711-6849,598 수성로,
2677,황진진,1992-06-16,010-3198-4198,459 칠성로,
2678,김유주,1983-11-02,010-4555-6680,897 동성로,
2679,류윤연,1996-04-27,010-6353-3344,602 수성로,
2680,강다경,2009-09-18,010-3588-5245,362 동성로,
2681,강수민,2002-03-28,010-9135-5204,23 칠성로,
2682,조유솔,1994-12-22,010-1675-2901,824 중앙로,
2683,서세율,1991-07-14,010-6286-2112,418 동성로,
2684,이예주,1988-07-21,010-6682-9774,354 칠성로,
2685,송아훈,2002-08-13,010-2524-4043,816 칠성로,
2686,조다민,1995-03-11,010-9396-4640,843 수성로,
2687,송주주,2008-01-26,010-7122-8088,693 수성로,
2688,최서주,1982-03-24,010-5955-1812,319 중앙로,
2689,조예경,1986-08-27,010-5699-3077,763 중앙로,
2690,안아영,1999-04-04,010-2356-1772,175 중앙로,
2691,류도훈,1990-06-28,010-1271-6947,77 중앙로,
2692,강서훈,2005-05-04,010-9896-8365,784 동성로,
2693,윤지온,1996-06-14,010-6858-6648,646 칠성로,
2694,신다빈,1989-08-08,010-8812-2050,93 동성로,
2695,전수율,1996-03-30,010-1418-8203,419 범어로,
2696,신지우,1997-01-03,010-2530-4955,431 수성로,
2697,윤아원,1984-11-08,010-7833-7607,823 범어로,
2698,송지율,2000-05-15,010-8921-5389,959 동성로,
2699,정시성,2001-10-07,010-1966-6443,330 동성로,
2700,강다림,1985-10-02,010-5754-7003,183 칠성로,
2701,송서림,1997-07-13,010-3515-2874,421 범어로,
2702,윤현희,1993-05-20,010-1204-3957,149 수성로,
2703,최수림,1999-08-03,010-1354-4126,630 동성로,
2704,서유우,1982-09-24,010-9610-4679,771 동성로,
2705,강준경,2004-11-30,010-1128-2921,841 중앙로,
2706,임세성,1996-03-22,010-2946-1100,677 칠성로,
2707,윤하빈,1999-08-05,010-3758-4079,304 중앙로,
2708,전시영,2004-07-10,010-2433-5244,628 동성로,
2709,류채성,2002-10-21,010-8541-2229,565 범어로,
2710,송유진,1995-09-18,010-3925-4860,330 범어로,
2711,송진경,1987-07-08,010-4610-8414,555 중앙로,
2712,김민진,2008-02-23,010-6930-1253,53 동성로,
2713,권지경,1984-07-12,010-1962-2728,853 수성로,
2714,장시윤,1987-05-01,010-2697-3175,891 중앙로,
2715,한세훈,1982-02-08,010-7648-1225,354 동성로,
2716,최지나,1980-08-01,010-4750-7462,294 칠성로,
2717,임은림,2006-08-28,010-5284-9743,153 칠성로,
2718,윤서우,1997-12-22,010-8448-5269,470 범어로,
2719,류민희,2007-06-22,010-8229-3224,97 중앙로,
2720,안현희,2000-09-03,010-9142-5154,926 동성로,
2721,류현율,1982-11-24,010-7593-2031,197 수성로,
2722,강채빈,1992-06-06,010-5615-2674,729 범어로,
2723,장다성,1981-04-29,010-7043-2864,357 수성로,
2724,류은현,2002-08-07,010-8561-5934,735 중앙로,
2725,임은현,1982-04-29,010-5014-9750,811 칠성로,
2726,박진성,1995-08-21,010-7086-9110,214 수성로,
2727,황세윤,1987-05-19,010-2314-1866,536 수성로,
2728,오주우,2000-06-08,010-2524-9316,284 칠성로,
2729,오채빈,1997-08-17,010-4180-6613,215 동성로,
2730,황주아,2007-04-19,010-6484-2699,981 중앙로,
2731,조은민,1997-08-27,010-5930-5297,220 동성로,
2732,임지희,2009-07-11,010-2325-9177,2 동성로,
2733,강수원,2000-05-19,010-3495-1829,420 수성로,
2734,안주빈,2005-05-28,010-2161-7506,324 동성로,
2735,박수훈,1997-11-30,010-8986-5135,230 수성로,
2736,박하성,2003-11-24,010-5623-1303,155 수성로,
2737,이서연,1995-03-06,010-8726-9206,545 칠성로,
2738,이도온,1995-12-28,010-7298-7942,203 수성로,
2739,한주온,1986-02-02,010-2429-7625,576 칠성로,
2740,강준빈,1996-10-30,010-7889-4499,929 중앙로,
2741,전수우,1996-12-25,010-3069-6521,608 범어로,
2742,권세림,1987-03-24,010-3632-5727,574 칠성로,
2743,박은경,1997-12-19,010-4088-8870,512 동성로,
2744,안지원,2009-08-14,010-3879-4328,808 칠성로,
2745,송도영,1988-05-10,010-5094-3512,434 칠성로,
2746,권채원,1994-10-03,010-1513-8025,15 중앙로,
2747,송민솔,2001-08-20,010-8357-9156,685 수성로,
2748,김민희,2003-02-18,010-7968-2946,46 수성로,
2749,서유윤,2008-07-15,010-4532-8041,259 수성로,
2750,정예아,1987-02-12,010-7590-2594,853 칠성로,
2751,한도경,2005-08-14,010-8739-9658,593 동성로,
2752,서예연,2010-11-09,010-2654-5196,451 수성로,
2753,이채우,1991-04-09,010-1415-4679,426 범어로,
2754,신다진,1988-04-20,010-1220-5584,999 수성로,
2755,서하윤,1993-09-25,010-1860-1495,334 수성로,
2756,한서원,2008-07-22,010-3089-9011,464 동성로,
2757,신준연,2010-03-22,010-4755-1057,803 칠성로,
2758,전아나,2005-04-17,010-5419-6337,465 중앙로,
2759,신하진,1997-02-13,010-6669-7322,260 중앙로,
2760,서준아,2004-12-21,010-6164-7552,532 칠성로,
2761,송은빈,1980-03-22,010-4640-1712,867 범어로,
2762,권세현,1981-03-19,010-2697-7912,204 칠성로,
2763,윤윤영,1989-05-13,010-6042-5880,732 칠성로,
2764,정서성,2008-12-07,010-5302-5114,790 동성로,
2765,권서솔,1994-09-01,010-8643-6797,926 수성로,
2766,강다현,1980-04-10,010-5896-9623,426 칠성로,
2767,한현솔,1987-09-29,010-2311-5554,974 칠성로,
2768,송다림,1994-01-08,010-4971-2290,37 동성로,
2769,전서주,2006-01-26,010-4107-1721,7 수성로,
2770,강하윤,1991-04-23,010-5284-2439,40 중앙로,
2771,정세솔,1987-06-03,010-1224-2268,422 칠성로,
2772,안윤현,1982-01-10,010-7664-4853,616 범어로,
2773,류진솔,1988-09-21,010-9910-7907,666 칠성로,
2774,전윤윤,1996-02-02,010-9750-4722,567 칠성로,
2775,신민율,1982-11-01,010-3666-4007,577 동성로,
2776,장채온,2000-02-13,010-3146-2798,391 동성로,
2777,최예훈,1993-02-07,010-4474-2166,293 칠성로,
2778,임지훈,2002-04-29,010-7164-9282,983 수성로,
2779,윤주온,2002-07-10,010-3575-8439,965 수성로,
2780,조예원,1995-11-03,010-7480-8641,424 칠성로,
2781,임시진,1981-05-30,010-3028-7016,909 수성로,
2782,이예원,1993-07-25,010-4758-2839,434 칠성로,
2783,오다솔,2006-05-07,010-5862-5398,385 수성로,
2784,이준윤,1987-09-18,010-1837-1745,957 중앙로,
2785,박지성,1980-03-09,010-6740-5572,477 칠성로,
2786,박다희,1993-07-26,010-8075-4812,674 칠성로,
2787,박세윤,1998-05-18,010-8745-9087,59 칠성로,
2788,오채영,2010-07-24,010-6719-5490,885 중앙로,
2789,윤현율,1980-01-12,010-1399-6593,296 범어로,
2790,김민림,2003-09-08,010-2610-3131,786 중앙로,
2791,한채원,1991-12-04,010-3557-5060,91 범어로,
2792,조준희,2006-10-27,010-5890-1952,341 수성로,
2793,조지빈,1981-01-31,010-6580-2169,312 중앙로,
2794,임도훈,2008-03-03,010-3257-3749,216 칠성로,
2795,권수림,1999-03-02,010-5654-2153,818 중앙로,
2796,장준성,1989-02-11,010-5022-5727,162 수성로,
2797,조민윤,1990-07-05,010-2911-9586,716 동성로,
2798,한주현,1981-04-28,010-3770-7418,296 동성로,
2799,이지윤,1983-09-10,010-1496-3118,664 수성로,
2800,서은민,2002-03-20,010-1652-6640,483 중앙로,
2801,윤민림,2007-05-26,010-3505-1209,453 범어로,
2802,권시연,1996-01-22,010-4160-1863,475 수성로,
2803,윤하성,2009-05-16,010-7591-2449,290 범어로,
2804,최채빈,1985-05-24,010-5189-8162,801 동성로,
2805,윤주연,2006-04-01,010-2342-7138,414 동성로,
2806,정유림,1983-09-07,010-8734-7203,250 수성로,
2807,류서연,2010-05-21,010-1304-3737,651 범어로,
2808,정도현,1985-04-03,010-2828-3911,365 동성로,
2809,한세영,1990-01-27,010-5662-3913,154 수성로,
2810,정윤성,1982-10-16,010-9769-3626,186 범어로,
2811,전다영,1981-05-02,010-4846-1228,346 칠성로,
2812,정도주,2001-05-19,010-5047-7651,44 동성로,
2813,윤지아,2005-12-20,010-2613-4132,483 수성로,
2814,권준연,1995-09-28,010-2737-8770,651 중앙로,
2815,황현우,2005-05-21,010-7422-9298,673 수성로,
2816,류민나,1987-11-22,010-3114-1993,908 중앙로,
2817,강하빈,1992-08-06,010-3691-6646,774 수성로,
2818,윤서훈,1997-10-12,010-8860-2752,43 범어로,
2819,황진윤,1982-02-04,010-4802-6504,784 칠성로,
2820,김진우,2009-07-02,010-9843-2189,714 수성로,
2821,윤채빈,1990-09-02,010-3420-5070,168 범어로,
2822,박아진,1988-02-22,010-5539-7276,714 수성로,
2823,서은림,1980-09-07,010-1666-4183,732 칠성로,
2824,김은온,1987-08-06,010-2223-8651,472 동성로,
2825,임준율,2000-09-28,010-5752-9166,472 칠성로,
2826,서세현,2005-11-11,010-9707-3384,606 칠성로,
2827,윤윤나,1999-09-26,010-7198-1226,30 동성로,
2828,송아율,2004-08-10,010-1739-6238,731 동성로,
2829,김현영,1982-08-03,010-7868-4317,567 칠성로,
2830,서아주,1997-04-09,010-9989-7925,968 칠성로,
2831,박준영,1986-08-11,010-7790-3643,102 범어로,
2832,전도현,1996-05-08,010-6052-5970,755 수성로,
2833,신시림,1989-12-04,010-6768-2333,708 수성로,
2834,전시우,2007-10-10,010-8871-7799,998 중앙로,
2835,이다성,1986-09-28,010-6826-2990,435 범어로,
2836,한현율,1985-09-18,010-5513-5667,401 칠성로,
2837,윤시원,2006-01-20,010-6031-3350,130 범어로,
2838,권준민,1986-08-16,010-3425-5380,360 범어로,
2839,한은빈,2006-05-31,010-8115-4125,834 범어로,
2840,안진훈,1984-10-12,010-1939-8227,695 수성로,
2841,장수현,1989-09-14,010-9370-3361,345 동성로,
2842,오현성,2009-04-07,010-1064-3425,211 범어로,
2843,권세윤,1985-01-22,010-7328-6058,977 칠성로,
2844,조현림,1987-03-21,010-3348-9160,117 범어로,
2845,신지민,1991-06-22,010-6046-4237,755 범어로,
2846,장하훈,1987-03-13,010-5230-8613,343 수성로,
2847,임시우,2008-02-02,010-1625-7672,460 수성로,
2848,최윤나,1986-01-10,010-3829-8980,569 칠성로,
2849,윤주주,1992-08-22,010-6073-4990,346 중앙로,
2850,김민솔,2005-05-15,010-5176-8483,794 중앙로,
2851,권하민,2010-02-26,010-7288-5763,560 동성로,
2852,송채아,1994-11-02,010-1934-5004,263 중앙로,
2853,권준온,2001-07-19,010-2905-4513,496 칠성로,
2854,서주성,2007-07-28,010-1471-3708,190 중앙로,
2855,임지성,1991-12-09,010-8762-3179,883 중앙로,
2856,황유빈,2004-03-16,010-2370-2937,92 범어로,
2857,류유주,1994-11-03,010-2061-4969,77 중앙로,
2858,오하나,1995-03-03,010-6511-1075,364 칠성로,
2859,전예나,1981-04-03,010-1795-3525,319 범어로,
2860,강수우,1997-10-19,010-1255-5329,712 칠성로,
2861,이윤주,1980-03-10,010-4929-7261,455 중앙로,
2862,권예민,2000-08-29,010-9451-2488,887 중앙로,
2863,이아율,2010-08-25,010-5359-5562,888 수성로,
2864,황시솔,1992-08-20,010-8939-2511,520 칠성로,
2865,조예현,1988-08-02,010-3126-2072,602 칠성로,
2866,이주온,2008-07-07,010-5440-4750,501 범어로,
2867,임예솔,1990-08-23,010-3146-3566,307 범어로,
2868,류지원,2010-09-24,010-8834-2455,927 칠성로,
2869,임다훈,1983-04-21,010-3256-9527,689 범어로,
2870,서아주,1996-03-09,010-7277-1380,235 칠성로,
2871,안서영,2005-07-23,010-3361-9313,830 수성로,
2872,서은영,2001-01-15,010-1809-2459,745 범어로,
2873,강하원,1984-09-26,010-3159-8966,393 중앙로,
2874,황다영,1995-02-24,010-3937-5359,249 수성로,
2875,황도연,2010-04-21,010-7799-1314,11 동성로,
